UniqueIndex,u.r,DOI,Title,Authors,JnlYear,InfantGroup,ExperimentNo,PublicationStatus,NativeLanguage,TestLanguage,Lab,InfantType,minAge,meanAge,maxAge,PropFemales,Included,Excluded,Fussers,NonCriterion,Criterion,exclusionCriteria,MeanAgeMonths,MultipleAgeGroups,MultipleAgeGroupsYO,Words,WdMisAlignMajorStress,Linguistic,NumberSyllables,passages,EdgeAlign,EdgeAlignSimple,FamVoice,FamRegister,FamAffect,maxTrialDurFam,TestVoice,TestRegister,AgeGroupForIndex,Indexical,maxTrialDurTest,nbTrialsTest,Words2Passage,famCriterion,repeatedMeasures,Method,PredictedEffect,OtherNotes,LTFam,SD.LTFam,LTNov,SD.LTNov,correlationFamNov,exact.t,exact.F,p_val_reported,proportionFamPref,formula2use
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,1,1,peer-reviewed,American English,native,Jusczyk,standard,214,228,260,0.4583333333,24,10,6,4,3,crying failing to listen 3s on average to passages,7.5,0,0,{kingdom hamlet} {candle doctor},0,match,2,Your kingdom is in a faraway place. The prince used to sail to that kingdom when he came home from school. One day he saw a ghost in this old kingdom. The kingdom started to worry him. So he went to another kingdom. Now in the big kingdom he is happy. Your hamlet lies just over the hill. Far away from here near the sea is an old hamlet. People from the hamlet like to fish. Another hamlet is in the country. People from that hamlet really like to farm. They grow so much that theirs is a very big hamlet. The doctor saw you the other day. Heâ€™s much younger than the old doctor. I think your doctor is very nice. He showed another doctor your pretty picture. That doctor thought you grew a lot. Maybe someday youâ€™ll be a big doctor. The candle in the kitchen was almost melted. So Annie bought another candle at the stationery store. She came home and put away the old candle. Fran gave that candle to you later. Then she made a place for the new big candle. Your candle is very pretty and smells nice too.,58.3333333333,0.333333333333333,female,IDS,NA,21.78,same,IDS,NA,not.manipulated,20.55,16,yes,30,no,HPP,exploratory,,7.92,2.77,6.8,2.71,,2.67,,0.019,0.75,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,2,2,peer-reviewed,American English,native,Jusczyk,standard,218,227,243,0.2916666667,24,8,5,1,3,crying failing to listen failing to look at the light restlessness,7.5,0,0,{kingdom hamlet} {candle doctor},0,match,2,Your kingdom is in a faraway place. The prince used to sail to that kingdom when he came home from school. One day he saw a ghost in this old kingdom. The kingdom started to worry him. So he went to another kingdom. Now in the big kingdom he is happy. Your hamlet lies just over the hill. Far away from here near the sea is an old hamlet. People from the hamlet like to fish. Another hamlet is in the country. People from that hamlet really like to farm. They grow so much that theirs is a very big hamlet. The doctor saw you the other day. Heâ€™s much younger than the old doctor. I think your doctor is very nice. He showed another doctor your pretty picture. That doctor thought you grew a lot. Maybe someday youâ€™ll be a big doctor. The candle in the kitchen was almost melted. So Annie bought another candle at the stationery store. She came home and put away the old candle. Fran gave that candle to you later. Then she made a place for the new big candle. Your candle is very pretty and smells nice too.,58.3333333333,0.333333333333333,female,IDS,NA,20.55,same,IDS,NA,not.manipulated,21.78,12,no,45,no,HPP,exploratory,,9.59,2.55,7.55,2.84,,4.16,,0.0004,0.8333333333,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,3,3,peer-reviewed,American English,native,Jusczyk,standard,212,226,246,0.5,24,1,0,0,3,experimenter error,7.5,0,0,{kingdom hamlet} {candle doctor},0,embedded,2,Your king groans a lot. The nice big king likes to laugh. The son of the old king will soon visit them. The prince will tell a joke to the king. Then he will tell it to the new king. That king will smile too. The ham for dinner is almost ready. Dad brought home a new ham. Everyone liked that ham for Thanksgiving dinner. Your ham will taste very good. Mom almost baked an old ham that she had last Christmas. It was a spicy baked ham. The dock by the lake had sailboats. Motor boats stay at the old dock. That dock gets very busy. Fishing from the dock looks like fun. People at your dock like to swim too. A family brought their boat to the new dock. The can with the apple sauce is on the shelf. You can holds alphabet soup. Beans from the new can will be good too. Weâ€™ll dust off the old can. It is by the big can hiding in the back. It will be hard to reach that can.,60,0.333333333333333,female,IDS,NA,21.6,same,IDS,NA,not.manipulated,21.78,12,no,45,no,HPP,exploratory,,9.94,3.71,10.5,3.4,,1.03,,0.34,0.4583333333,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,4,4,peer-reviewed,American English,native,Jusczyk,standard,215,225,245,0.5833333333,24,5,2,0,3,crying failure to look at light rstlessness,7.5,0,0,{king ham} {dock can},0,embedded,1,His bike had big black wheels. The girl rode her big bike. Her bike could go very fast. The bell on the bike was really loud. The boy had a new red bike. Your bike always stays in the garage. She put on her hat to play in the snow. The hat was soft and warm. Her brother had knitted the hat. The hat was blue and white. She liked how the hat covered her ears. Her friends also liked her hat. The tree was a hundred years old. The tree grew in the man's back yard. He liked to look outside at the tree. Hanging from the tree was a swing. The man's grandchild played in the tree. The leaves on the tree were yellow. The juicy green pear came from the basket. The pear is her favorite fruit. She wanted to eat the biggest pear. The pear in the basket looked very good. Next to the pear was an apple. She ate the whole pear.,58.3333333333,0.333333333333333,female,IDS,NA,20.55,same,IDS,NA,not.manipulated,19.16,12,no,45,no,HPP,exploratory,,9.58,3.25,8.58,3.52,,1.63,,0.14,0.5833333333,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,5,5,peer-reviewed,American English,native,Jusczyk,standard,217,230,250,0.375,24,10,2,3,3,crying failing to listen failing to look at the light restlessness experimenter error,7.5,0,0,{king ham} {dock can},0,embedded,1,His bike had big black wheels. The girl rode her big bike. Her bike could go very fast. The bell on the bike was really loud. The boy had a new red bike. Your bike always stays in the garage. She put on her hat to play in the snow. The hat was soft and warm. Her brother had knitted the hat. The hat was blue and white. She liked how the hat covered her ears. Her friends also liked her hat. The tree was a hundred years old. The tree grew in the man's back yard. He liked to look outside at the tree. Hanging from the tree was a swing. The man's grandchild played in the tree. The leaves on the tree were yellow. The juicy green pear came from the basket. The pear is her favorite fruit. She wanted to eat the biggest pear. The pear in the basket looked very good. Next to the pear was an apple. She ate the whole pear.,58.3333333333,0.333333333333333,female,IDS,NA,19.16,same,IDS,NA,not.manipulated,20.55,16,yes,30,no,HPP,exploratory,,7.75,2.39,7.06,2.37,,1.33,,0.19,0.5833333333,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,6,6,peer-reviewed,American English,native,Jusczyk,standard,216,235,243,0.3333333333,24,5,1,2,3,crying failing to listen restlessness experimenter error,7.5,0,0,{king ham} {dock can} spliced from bisyllabic stimuli,0,embedded,1,His bike had big black wheels. The girl rode her big bike. Her bike could go very fast. The bell on the bike was really loud. The boy had a new red bike. Your bike always stays in the garage. She put on her hat to play in the snow. The hat was soft and warm. Her brother had knitted the hat. The hat was blue and white. She liked how the hat covered her ears. Her friends also liked her hat. The tree was a hundred years old. The tree grew in the man's back yard. He liked to look outside at the tree. Hanging from the tree was a swing. The man's grandchild played in the tree. The leaves on the tree were yellow. The juicy green pear came from the basket. The pear is her favorite fruit. She wanted to eat the biggest pear. The pear in the basket looked very good. Next to the pear was an apple. She ate the whole pear.,58.3333333333,0.333333333333333,female,IDS,NA,17.63,same,IDS,NA,not.manipulated,20.55,16,yes,30,no,HPP,exploratory,,8.62,3.35,7.74,2.19,,1.4,,0.19,0.5,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,7,7,peer-reviewed,American English,native,Jusczyk,standard,217,224,244,0.375,24,10,8,2,3,crying failing to listen 3s on average to passages,7.5,1,1,{guitar device} {beret surprise},1,match,2,The man put away his old guitar. Your guitar is in the studio. That red guitar is brand new. The pink guitar is mine. Give the girl the plain guitar. Her guitar is too fancy. Your device can do a lot. Her device only fixes things. My new red device makes ice cream. The pink device sews clothes. We donâ€™t need that old device. I think it is a plain device. The lady is wearing an old beret. She gave her plain beret to the clerk. Your beret is colorful and new. The red beret belongs to Jacques. Your mother bought a pink beret. Her beret is nice too. The big red surprise is for you. The small pink surprise is for Dawn. Your surprise will be fantastic. I think Dawn got the old surprise. Her surprise might not last long. At least she didnâ€™t get a plain surprise.,65.8333333333,0.333333333333333,female,IDS,NA,21.22,same,IDS,NA,not.manipulated,18.46,16,yes,30,no,HPP,exploratory,,7.19,2.08,7.55,2.3,,1.19,,0.24,0.375,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,8,8,peer-reviewed,American English,native,Jusczyk,standard,215,225,245,0.5,24,7,4,0,3,crying failure to look at the light restlessness,7.5,1,1,{tar vice} {ray prize},0,embedded,1,The man put away his old guitar. Your guitar is in the studio. That red guitar is brand new. The pink guitar is mine. Give the girl the plain guitar. Her guitar is too fancy. Your device can do a lot. Her device only fixes things. My new red device makes ice cream. The pink device sews clothes. We donâ€™t need that old device. I think it is a plain device. The lady is wearing an old beret. She gave her plain beret to the clerk. Your beret is colorful and new. The red beret belongs to Jacques. Your mother bought a pink beret. Her beret is nice too. The big red surprise is for you. The small pink surprise is for Dawn. Your surprise will be fantastic. I think Dawn got the old surprise. Her surprise might not last long. At least she didnâ€™t get a plain surprise.,65.8333333333,0.333333333333333,female,IDS,NA,22.5,same,IDS,NA,not.manipulated,18.46,16,yes,30,no,HPP,exploratory,,8.45,2.38,6.8,1.85,,4.12,,0.0004,0.7916666667,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,9,9,peer-reviewed,American English,native,Jusczyk,standard,216,227,246,0.4166666667,24,8,2,0,3,crying restlessness parental interference equipment failure failure to look at the light,7.5,0,0,{tar vice} {ray prize},0,embedded,1,The man put away his old guitar. Your guitar is in the studio. That red guitar is brand new. The pink guitar is mine. Give the girl the plain guitar. Her guitar is too fancy. Your device can do a lot. Her device only fixes things. My new red device makes ice cream. The pink device sews clothes. We donâ€™t need that old device. I think it is a plain device. The lady is wearing an old beret. She gave her plain beret to the clerk. Your beret is colorful and new. The red beret belongs to Jacques. Your mother bought a pink beret. Her beret is nice too. The big red surprise is for you. The small pink surprise is for Dawn. Your surprise will be fantastic. I think Dawn got the old surprise. Her surprise might not last long. At least she didnâ€™t get a plain surprise.,65.8333333333,0.333333333333333,female,IDS,NA,18.46,same,IDS,NA,not.manipulated,22.5,12,no,45,no,HPP,exploratory,,10.88,3.76,9.74,2.87,,1.8,,0.08,0.6666666667,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,10,10,peer-reviewed,American English,native,Jusczyk,standard,216,224,245,0.4166666667,24,2,2,0,3,crying,7.5,1,1,{tar vice} {ray prize},0,embedded,1,Your guitar is really a fine instrument. But she says that the old guitar is great. In the attic her guitar is hidden away. My pink guitar is not nearly as special. I think that a red guitar is better looking. But if you want to play a plain guitar is fine. She looks for her device to start the project. That old device to bake the bread is broken. It would be wise to try your device to begin. Give the red device to him if you are busy. A plain device to do the job is better. We should bring the pink device to the rescue. Susie is buying her beret on credit. That red beret on the shelf might do. She asked the clerk to put the pink beret on. It was next to the plain beret on the counter. The old beret on the model is my favorite. Your beret on her is very chic. Weâ€™ve got a big surprise in store for you. Her surprise in the barn is big too. But it will be a very plain surprise in the box. Your surprise in the closet is very exciting. We hid this red surprise in Joanâ€™s house. The pink surprise in the hallway will astonish you.,23.3333333333,0,female,IDS,NA,18.46,same,IDS,NA,not.manipulated,23.62,12,no,45,no,HPP,exploratory,,9.68,4.26,10.6,3.69,,-0.97,,0.34,0.4166666667,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,11,11,peer-reviewed,American English,native,Jusczyk,standard,216,227,238,0.5416666667,24,7,6,0,3,crying restlessness,7.5,1,1,{taris viceto}{rayon prizin},0,reparse,2,Your guitar is really a fine instrument. But she says that the old guitar is great. In the attic her guitar is hidden away. My pink guitar is not nearly as special. I think that a red guitar is better looking. But if you want to play a plain guitar is fine. She looks for her device to start the project. That old device to bake the bread is broken. It would be wise to try your device to begin. Give the red device to him if you are busy. A plain device to do the job is better. We should bring the pink device to the rescue. Susie is buying her beret on credit. That red beret on the shelf might do. She asked the clerk to put the pink beret on. It was next to the plain beret on the counter. The old beret on the model is my favorite. Your beret on her is very chic. Weâ€™ve got a big surprise in store for you. Her surprise in the barn is big too. But it will be a very plain surprise in the box. Your surprise in the closet is very exciting. We hid this red surprise in Joanâ€™s house. The pink surprise in the hallway will astonish you.,23.3333333333,0,female,IDS,NA,21.72,same,IDS,NA,not.manipulated,23.62,12,no,45,no,HPP,exploratory,,10.94,2.2,8.95,2.44,,3.06,,0.005,0.75,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,12,12,peer-reviewed,American English,native,Jusczyk,standard,302,319,336,0.5,24,5,3,0,3,crying restlessness,10.5,1,2,{guitar device} {beret surprise},1,match,2,The man put away his old guitar. Your guitar is in the studio. That red guitar is brand new. The pink guitar is mine. Give the girl the plain guitar. Her guitar is too fancy. Your device can do a lot. Her device only fixes things. My new red device makes ice cream. The pink device sews clothes. We donâ€™t need that old device. I think it is a plain device. The lady is wearing an old beret. She gave her plain beret to the clerk. Your beret is colorful and new. The red beret belongs to Jacques. Your mother bought a pink beret. Her beret is nice too. The big red surprise is for you. The small pink surprise is for Dawn. Your surprise will be fantastic. I think Dawn got the old surprise. Her surprise might not last long. At least she didnâ€™t get a plain surprise.,65.8333333333,0.333333333333333,female,IDS,NA,21.22,same,IDS,NA,not.manipulated,18.46,16,yes,30,no,HPP,exploratory,,7.48,2.18,6.17,2.17,,4.19,,0.0004,0.75,means&SD
4,Christina,10.1006/cogp.1999.0716,The Beginnings of Word Segmentation in English-Learning Infants,Jusczyk Houston Newsome,1999,13,13,peer-reviewed,American English,native,Jusczyk,standard,299,319,349,0.4583333333,24,4,1,1,3,crying restlessness looking time below criterion parental interference,10.5,1,2,{tar vice} {ray prize},0,embedded,1,The man put away his old guitar. Your guitar is in the studio. That red guitar is brand new. The pink guitar is mine. Give the girl the plain guitar. Her guitar is too fancy. Your device can do a lot. Her device only fixes things. My new red device makes ice cream. The pink device sews clothes. We donâ€™t need that old device. I think it is a plain device. The lady is wearing an old beret. She gave her plain beret to the clerk. Your beret is colorful and new. The red beret belongs to Jacques. Your mother bought a pink beret. Her beret is nice too. The big red surprise is for you. The small pink surprise is for Dawn. Your surprise will be fantastic. I think Dawn got the old surprise. Her surprise might not last long. At least she didnâ€™t get a plain surprise.,65.8333333333,0.333333333333333,female,IDS,NA,22.5,same,IDS,NA,not.manipulated,18.46,16,yes,30,no,HPP,exploratory,,7.36,2.47,6.79,2.46,,1.21,,0.24,0.5416666667,means&SD
